limitname,max_value,remaining_value,eventdate
DailyBulkApiBatches,15000,7079,2021-06-28 10:13:31
DailyBulkApiBatches,15000,6732,2021-06-28 11:11:25
DailyBulkApiBatches,15000,6355,2021-06-28 12:13:39
DailyBulkApiBatches,15000,6467,2021-06-28 13:14:12
DailyBulkApiBatches,15000,6600,2021-06-28 14:14:17
DailyBulkApiBatches,15000,6645,2021-06-28 15:13:24
DailyBulkApiBatches,15000,6637,2021-06-28 16:15:42
DailyBulkApiBatches,15000,6635,2021-06-28 17:14:13
DailyBulkApiBatches,15000,6641,2021-06-28 18:13:27
DailyBulkApiBatches,15000,6637,2021-06-28 19:14:14
DailyBulkApiBatches,15000,6636,2021-06-28 20:14:36
DailyBulkApiBatches,15000,6635,2021-06-28 21:13:51
DailyBulkApiBatches,15000,6637,2021-06-28 22:14:01
DailyBulkApiBatches,15000,6658,2021-06-28 23:11:16
DailyBulkApiBatches,15000,6612,2021-06-29 00:16:43
DailyBulkApiBatches,15000,6561,2021-06-29 01:14:38
DailyBulkApiBatches,15000,6504,2021-06-29 02:14:27
DailyBulkApiBatches,15000,6447,2021-06-29 03:14:30
DailyBulkApiBatches,15000,6419,2021-06-29 04:11:14
DailyBulkApiBatches,15000,6325,2021-06-29 05:14:32
DailyBulkApiBatches,15000,6272,2021-06-29 06:14:30
DailyBulkApiBatches,15000,6213,2021-06-29 07:13:39
DailyBulkApiBatches,15000,6147,2021-06-29 08:13:44
DailyBulkApiBatches,15000,6095,2021-06-29 09:13:17
DailyBulkApiBatches,15000,6030,2021-06-29 10:13:44
DailyBulkApiBatches,15000,5962,2021-06-29 11:14:25
DailyBulkApiBatches,15000,5900,2021-06-29 12:14:47
DailyBulkApiBatches,15000,5861,2021-06-29 13:13:10
DailyBulkApiBatches,15000,5801,2021-06-29 14:13:15
DailyBulkApiBatches,15000,5722,2021-06-29 15:15:31
DailyBulkApiBatches,15000,5666,2021-06-29 16:14:36
DailyBulkApiBatches,15000,5606,2021-06-29 17:13:59
DailyBulkApiBatches,15000,5548,2021-06-29 18:14:13
DailyBulkApiBatches,15000,5489,2021-06-29 19:13:34
DailyBulkApiBatches,15000,5419,2021-06-29 20:14:12
DailyBulkApiBatches,15000,5369,2021-06-29 21:14:21
DailyBulkApiBatches,15000,5316,2021-06-29 22:13:22
